
*********************************

Época 41200| Train Loss 0.0| Train ACC 1.0| Test loss 21.916272493286808| Test Acc 0.821

*********************************

Época 41300| Train Loss 0.0| Train ACC 1.0| Test loss 21.916272493286808| Test Acc 0.821

*********************************

Época 41400| Train Loss 0.0| Train ACC 1.0| Test loss 21.86949930839753| Test Acc 0.8215

*********************************

Época 41500| Train Loss 0.0| Train ACC 1.0| Test loss 21.86949930839753| Test Acc 0.8215

*********************************

Época 41600| Train Loss 0.0| Train ACC 1.0| Test loss 21.86949930839753| Test Acc 0.8215

*********************************

Época 41700| Train Loss 0.0| Train ACC 1.0| Test loss 21.86949930839753| Test Acc 0.8215

*********************************

Época 41800| Train Loss 0.0| Train ACC 1.0| Test loss 21.86949930839753| Test Acc 0.8215

*********************************

Época 41900| Train Loss 0.0| Train ACC 1.0| Test loss 21.86967077941504| Test Acc 0.8215

*********************************

Época 42000| Train Loss 0.0| Train ACC 1.0| Test loss 21.86967077941504| Test Acc 0.8215

*********************************

Época 42100| Train Loss 0.0| Train ACC 1.0| Test loss 21.86967077941504| Test Acc 0.8215

*********************************

Época 42200| Train Loss 0.0| Train ACC 1.0| Test loss 22.056166938069726| Test Acc 0.821

*********************************

Época 42300| Train Loss 0.0| Train ACC 1.0| Test loss 22.056166938069726| Test Acc 0.821

*********************************

Época 42400| Train Loss 0.0| Train ACC 1.0| Test loss 22.056166938069726| Test Acc 0.821

*********************************

Época 42500| Train Loss 0.0| Train ACC 1.0| Test loss 22.056166938069726| Test Acc 0.821

*********************************

Época 42600| Train Loss 0.0| Train ACC 1.0| Test loss 22.055441505442598| Test Acc 0.8215

*********************************

Época 42700| Train Loss 0.0| Train ACC 1.0| Test loss 22.055441505442598| Test Acc 0.8215

*********************************

Época 42800| Train Loss 0.0| Train ACC 1.0| Test loss 22.055441505442598| Test Acc 0.8215

*********************************

Época 42900| Train Loss 0.0| Train ACC 1.0| Test loss 22.055441505442598| Test Acc 0.8215

*********************************

Época 43000| Train Loss 0.0| Train ACC 1.0| Test loss 22.055441505442598| Test Acc 0.8215

*********************************

Época 43100| Train Loss 0.0| Train ACC 1.0| Test loss 22.055441505442598| Test Acc 0.8215

*********************************

Época 43200| Train Loss 0.0| Train ACC 1.0| Test loss 22.055441505442598| Test Acc 0.8215

*********************************

Época 43300| Train Loss 0.0| Train ACC 1.0| Test loss 22.055441505442598| Test Acc 0.8215

*********************************

Época 43400| Train Loss 0.0| Train ACC 1.0| Test loss 22.055441505442598| Test Acc 0.8215

*********************************

Época 43500| Train Loss 0.0| Train ACC 1.0| Test loss 22.055441505442598| Test Acc 0.8215

*********************************

Época 43600| Train Loss 0.0| Train ACC 1.0| Test loss 21.8660124394001| Test Acc 0.8225

*********************************

Época 43700| Train Loss 0.0| Train ACC 1.0| Test loss 21.865966706276673| Test Acc 0.823

*********************************

Época 43800| Train Loss 0.0| Train ACC 1.0| Test loss 21.865966706276673| Test Acc 0.823

*********************************

Época 43900| Train Loss 0.0| Train ACC 1.0| Test loss 21.865966706276673| Test Acc 0.823

*********************************

Época 44000| Train Loss 0.0| Train ACC 1.0| Test loss 21.865966706276673| Test Acc 0.823

*********************************

Época 44100| Train Loss 0.0| Train ACC 1.0| Test loss 22.052448843609184| Test Acc 0.823

*********************************

Época 44200| Train Loss 0.0| Train ACC 1.0| Test loss 22.052448843609184| Test Acc 0.823

*********************************

Época 44300| Train Loss 0.0| Train ACC 1.0| Test loss 22.052448843609184| Test Acc 0.823

*********************************

Época 44400| Train Loss 0.0| Train ACC 1.0| Test loss 22.052448843609184| Test Acc 0.823

*********************************

Época 44500| Train Loss 0.0| Train ACC 1.0| Test loss 22.052448843609184| Test Acc 0.823

*********************************

Época 44600| Train Loss 0.0| Train ACC 1.0| Test loss 22.052448843609184| Test Acc 0.823

*********************************

Época 44700| Train Loss 0.0| Train ACC 1.0| Test loss 22.052403497124754| Test Acc 0.8235

*********************************

Época 44800| Train Loss 0.0| Train ACC 1.0| Test loss 22.052403497124754| Test Acc 0.8235

*********************************

Época 44900| Train Loss 0.0| Train ACC 1.0| Test loss 22.051677940691953| Test Acc 0.824

*********************************

Época 45000| Train Loss 0.0| Train ACC 1.0| Test loss 22.051677940691953| Test Acc 0.824

*********************************

Época 45100| Train Loss 0.0| Train ACC 1.0| Test loss 22.051677940691953| Test Acc 0.824

*********************************

Época 45200| Train Loss 0.0| Train ACC 1.0| Test loss 22.051677940691953| Test Acc 0.824

*********************************

Época 45300| Train Loss 0.0| Train ACC 1.0| Test loss 22.051677940691953| Test Acc 0.824

*********************************

Época 45400| Train Loss 0.0| Train ACC 1.0| Test loss 22.051723288668395| Test Acc 0.8235

*********************************

Época 45500| Train Loss 0.0| Train ACC 1.0| Test loss 22.051723288668395| Test Acc 0.8235

*********************************

Época 45600| Train Loss 0.0| Train ACC 1.0| Test loss 22.051723288668395| Test Acc 0.8235

*********************************

Época 45700| Train Loss 0.0| Train ACC 1.0| Test loss 22.051677940691953| Test Acc 0.824

*********************************

Época 45800| Train Loss 0.0| Train ACC 1.0| Test loss 22.051677940691953| Test Acc 0.824

*********************************

Época 45900| Train Loss 0.0| Train ACC 1.0| Test loss 22.051677940691953| Test Acc 0.824

*********************************

Época 46000| Train Loss 0.0| Train ACC 1.0| Test loss 22.051677940691953| Test Acc 0.824

*********************************

Época 46100| Train Loss 0.0| Train ACC 1.0| Test loss 22.051677940691953| Test Acc 0.824

*********************************

Época 46200| Train Loss 0.0| Train ACC 1.0| Test loss 22.051677940691953| Test Acc 0.824

*********************************

Época 46300| Train Loss 0.0| Train ACC 1.0| Test loss 22.048956891426858| Test Acc 0.824

*********************************

Época 46400| Train Loss 0.0| Train ACC 1.0| Test loss 22.048956891426858| Test Acc 0.824

*********************************

Época 46500| Train Loss 0.0| Train ACC 1.0| Test loss 22.048956891426858| Test Acc 0.824

*********************************

Época 46600| Train Loss 0.0| Train ACC 1.0| Test loss 22.048956891426858| Test Acc 0.824

*********************************

Época 46700| Train Loss 0.0| Train ACC 1.0| Test loss 22.048956891426858| Test Acc 0.824

*********************************

Época 46800| Train Loss 0.0| Train ACC 1.0| Test loss 22.051859332038195| Test Acc 0.8235

*********************************

Época 46900| Train Loss 0.0| Train ACC 1.0| Test loss 22.051859332038195| Test Acc 0.8235

*********************************

Época 47000| Train Loss 0.0| Train ACC 1.0| Test loss 22.051859332038195| Test Acc 0.8235

*********************************

Época 47100| Train Loss 0.0| Train ACC 1.0| Test loss 22.051859332038195| Test Acc 0.8235

*********************************

Época 47200| Train Loss 0.0| Train ACC 1.0| Test loss 22.051859332038195| Test Acc 0.8235

*********************************

Época 47300| Train Loss 0.0| Train ACC 1.0| Test loss 22.051859332038195| Test Acc 0.8235

*********************************

Época 47400| Train Loss 0.0| Train ACC 1.0| Test loss 22.052584882503005| Test Acc 0.823

*********************************

Época 47500| Train Loss 0.0| Train ACC 1.0| Test loss 22.052584882503005| Test Acc 0.823

*********************************

Época 47600| Train Loss 0.0| Train ACC 1.0| Test loss 22.052584882503005| Test Acc 0.823

*********************************

Época 47700| Train Loss 0.0| Train ACC 1.0| Test loss 22.052584882503005| Test Acc 0.823

*********************************

Época 47800| Train Loss 0.0| Train ACC 1.0| Test loss 22.052584882503005| Test Acc 0.823

*********************************

Época 47900| Train Loss 0.0| Train ACC 1.0| Test loss 22.05253953629831| Test Acc 0.8235

*********************************

Época 48000| Train Loss 0.0| Train ACC 1.0| Test loss 22.05253953629831| Test Acc 0.8235

*********************************

Época 48100| Train Loss 0.0| Train ACC 1.0| Test loss 22.05253953629831| Test Acc 0.8235

*********************************

Época 48200| Train Loss 0.0| Train ACC 1.0| Test loss 22.05253953629831| Test Acc 0.8235

*********************************

Época 48300| Train Loss 0.0| Train ACC 1.0| Test loss 22.05253953629831| Test Acc 0.8235

*********************************

Época 48400| Train Loss 0.0| Train ACC 1.0| Test loss 22.05253953629831| Test Acc 0.8235

*********************************

Época 48500| Train Loss 0.0| Train ACC 1.0| Test loss 22.05253953629831| Test Acc 0.8235

*********************************

Época 48600| Train Loss 0.0| Train ACC 1.0| Test loss 22.052528199732567| Test Acc 0.824

*********************************

Época 48700| Train Loss 0.0| Train ACC 1.0| Test loss 22.052528199732567| Test Acc 0.824

*********************************

Época 48800| Train Loss 0.0| Train ACC 1.0| Test loss 22.052528199732567| Test Acc 0.824

*********************************

Época 48900| Train Loss 0.0| Train ACC 1.0| Test loss 22.053253728191674| Test Acc 0.8235

*********************************

Época 49000| Train Loss 0.0| Train ACC 1.0| Test loss 22.053253728191674| Test Acc 0.8235

*********************************

Época 49100| Train Loss 0.0| Train ACC 1.0| Test loss 22.053242391993066| Test Acc 0.824

*********************************

