
Época 35800| Train Loss 0.33730961708462714| Train ACC 0.9998888888888889| Test loss 22.46005342825346| Test Acc 0.824

*********************************

Época 35900| Train Loss 0.33730961708462714| Train ACC 0.9998888888888889| Test loss 22.460142475060128| Test Acc 0.823

*********************************

Época 36000| Train Loss 0.33730961708462714| Train ACC 0.9998888888888889| Test loss 22.460142475060128| Test Acc 0.823

*********************************

Época 36100| Train Loss 0.33730961708462714| Train ACC 0.9998888888888889| Test loss 22.460142475060128| Test Acc 0.823

*********************************

Época 36200| Train Loss 0.33730961708462714| Train ACC 0.9998888888888889| Test loss 22.460142475060128| Test Acc 0.823

*********************************

Época 36300| Train Loss 0.33730961708462714| Train ACC 0.9998888888888889| Test loss 22.460142475060128| Test Acc 0.823

*********************************

Época 36400| Train Loss 0.33730961708462714| Train ACC 0.9998888888888889| Test loss 22.460142475060128| Test Acc 0.823

*********************************

Época 36500| Train Loss 0.33730961708462714| Train ACC 0.9998888888888889| Test loss 22.460142475060128| Test Acc 0.823

*********************************

Época 36600| Train Loss 0.33730961708462714| Train ACC 0.9998888888888889| Test loss 22.460142475060128| Test Acc 0.823

*********************************

Época 36700| Train Loss 0.33730961708462714| Train ACC 0.9998888888888889| Test loss 22.460142475060128| Test Acc 0.823

*********************************

Época 36800| Train Loss 0.33730961708462714| Train ACC 0.9998888888888889| Test loss 22.460142475060128| Test Acc 0.823

*********************************

Época 36900| Train Loss 0.33730961708462714| Train ACC 0.9998888888888889| Test loss 22.460142475060128| Test Acc 0.823

*********************************

Época 37000| Train Loss 0.33730961708462714| Train ACC 0.9998888888888889| Test loss 22.460142475060128| Test Acc 0.823

*********************************

Época 37100| Train Loss 0.33730961708462714| Train ACC 0.9998888888888889| Test loss 22.460142475060128| Test Acc 0.823

*********************************

Época 37200| Train Loss 0.0| Train ACC 1.0| Test loss 22.551141877962632| Test Acc 0.822

*********************************

